date,lowbound_10th_hosp,median_hosp,upbound_90th_hosp,lowbound_10th_icu,median_icu,upbound_90th_icu,lowbound_10th_deaths,median_deaths,upbound_90th_deaths,lowbound_10th_rt,median_rt,upbound_90th_rt,county
2020-03-15,20.65,34.48,51.41,7.47,12.42,18.65,1.26,2.14,3.31,0.88,1.37,2.48,Alameda
2020-03-16,24.21,39.43,57.18,8.77,14.21,20.74,1.53,2.56,3.89,0.86,1.31,2.35,Alameda
2020-03-17,28.15,44.51,62.75,10.21,16.09,22.66,1.83,3.04,4.54,0.85,1.25,2.17,Alameda
2020-03-18,32.53,49.69,67.89,11.79,17.93,24.52,2.19,3.59,5.27,0.85,1.17,1.97,Alameda
2020-03-19,37.35,54.68,72.53,13.51,19.79,26.32,2.63,4.19,6.06,0.86,1.09,1.75,Alameda
2020-03-20,42.43,59.76,77.09,15.31,21.62,27.93,3.11,4.86,6.89,0.86,1.03,1.52,Alameda
2020-03-21,47.77,64.56,81.24,17.24,23.43,29.5,3.67,5.58,7.77,0.86,0.99,1.35,Alameda
2020-03-22,53.31,69.26,85.08,19.35,25.14,30.92,4.26,6.36,8.71,0.85,0.97,1.18,Alameda
2020-03-23,58.89,73.79,88.43,21.34,26.84,32.26,4.95,7.2,9.69,0.85,0.95,1.1,Alameda
2020-03-24,64.28,78.14,91.6,23.29,28.44,33.53,5.71,8.09,10.7,0.84,0.94,1.06,Alameda
2020-03-25,69.31,82.15,94.63,25.13,29.88,34.66,6.55,9.04,11.75,0.84,0.93,1.04,Alameda
2020-03-26,73.92,85.83,97.35,26.81,31.27,35.67,7.41,10.05,12.84,0.84,0.93,1.04,Alameda
2020-03-27,77.99,89.05,99.86,28.35,32.5,36.68,8.36,11.1,13.95,0.83,0.93,1.04,Alameda
2020-03-28,81.49,91.98,102.2,29.75,33.64,37.56,9.39,12.18,15.1,0.83,0.93,1.03,Alameda
2020-03-29,84.61,94.6,104.33,30.98,34.69,38.39,10.45,13.3,16.26,0.83,0.93,1.03,Alameda
2020-03-30,87.67,96.94,106.26,32.01,35.58,39.17,11.55,14.46,17.45,0.83,0.93,1.03,Alameda
2020-03-31,90.17,99.05,108.04,32.98,36.41,39.85,12.73,15.64,18.67,0.84,0.93,1.02,Alameda
2020-04-01,92.41,100.88,109.61,33.88,37.15,40.42,13.91,16.87,19.9,0.85,0.92,1.01,Alameda
2020-04-02,94.26,102.54,110.95,34.61,37.78,40.96,15.13,18.09,21.16,0.85,0.92,0.99,Alameda
2020-04-03,95.98,104,112.35,35.28,38.34,41.44,16.38,19.35,22.42,0.86,0.92,0.98,Alameda
2020-04-04,97.39,105.22,113.39,35.88,38.85,41.92,17.67,20.64,23.69,0.86,0.92,0.98,Alameda
2020-04-05,98.49,106.24,114.36,36.35,39.25,42.29,18.99,21.94,24.99,0.86,0.92,0.98,Alameda
2020-04-06,99.46,107.09,115.11,36.76,39.63,42.6,20.32,23.25,26.29,0.86,0.92,0.98,Alameda
2020-04-07,100.34,107.85,115.68,37.1,39.93,42.83,21.68,24.57,27.59,0.86,0.92,0.98,Alameda
2020-04-08,101.02,108.43,116.18,37.41,40.18,43.04,23.02,25.92,28.92,0.86,0.92,0.98,Alameda
2020-04-09,101.59,108.89,116.48,37.59,40.38,43.23,24.38,27.26,30.24,0.86,0.92,0.98,Alameda
2020-04-10,101.96,109.19,116.69,37.77,40.53,43.34,25.75,28.61,31.56,0.86,0.92,0.98,Alameda
2020-04-11,102.17,109.39,116.78,37.9,40.64,43.41,27.11,29.97,32.88,0.86,0.92,0.98,Alameda
2020-04-12,102.29,109.45,116.8,37.97,40.69,43.45,28.5,31.34,34.21,0.86,0.92,0.98,Alameda
2020-04-13,102.32,109.39,116.7,38.05,40.73,43.44,29.88,32.7,35.55,0.87,0.92,0.98,Alameda
2020-04-14,102.29,109.28,116.57,38.07,40.71,43.43,31.28,34.06,36.89,0.87,0.93,0.99,Alameda
2020-04-15,102.17,109.11,116.32,38.05,40.68,43.38,32.67,35.41,38.22,0.88,0.94,0.99,Alameda
2020-04-16,101.97,108.92,116.01,38.01,40.63,43.29,34.07,36.77,39.54,0.89,0.95,1,Alameda
2020-04-17,101.67,108.63,115.68,37.93,40.53,43.21,35.47,38.13,40.87,0.9,0.96,1.02,Alameda
2020-04-18,101.42,108.27,115.28,37.85,40.42,43.1,36.84,39.49,42.2,0.92,0.97,1.03,Alameda
2020-04-19,101.01,107.86,114.81,37.73,40.3,42.98,38.22,40.85,43.53,0.92,0.98,1.04,Alameda
2020-04-20,100.6,107.42,114.38,37.62,40.14,42.88,39.61,42.2,44.84,0.93,0.98,1.04,Alameda
2020-04-21,100.23,107.03,113.96,37.46,40.01,42.75,41,43.54,46.14,0.93,0.99,1.05,Alameda
2020-04-22,99.87,106.57,113.49,37.32,39.88,42.61,42.33,44.88,47.44,0.93,0.99,1.05,Alameda
2020-04-23,99.46,106.13,113.04,37.2,39.73,42.46,43.69,46.21,48.75,0.94,0.99,1.05,Alameda
2020-04-24,99.1,105.72,112.69,37.05,39.59,42.31,45.04,47.54,50.04,0.94,0.99,1.05,Alameda
2020-04-25,98.75,105.32,112.31,36.93,39.47,42.21,46.4,48.88,51.33,0.94,1,1.05,Alameda
2020-04-26,98.46,104.97,111.84,36.82,39.34,42.08,47.73,50.2,52.63,0.94,1,1.06,Alameda
2020-04-27,98.19,104.65,111.44,36.68,39.23,41.97,49.05,51.52,53.92,0.94,1,1.06,Alameda
2020-04-28,97.93,104.34,111.03,36.57,39.13,41.85,50.37,52.82,55.21,0.95,1.01,1.08,Alameda
2020-04-29,97.59,104.01,110.62,36.48,39.02,41.75,51.68,54.14,56.5,0.96,1.02,1.09,Alameda
2020-04-30,97.3,103.71,110.4,36.36,38.92,41.66,53,55.44,57.79,0.97,1.03,1.11,Alameda
2020-05-01,97.05,103.47,110.15,36.27,38.81,41.54,54.3,56.74,59.06,0.98,1.05,1.12,Alameda
2020-05-02,96.89,103.23,109.97,36.18,38.74,41.45,55.6,58.04,60.33,0.99,1.06,1.14,Alameda
2020-05-03,96.69,103.04,109.82,36.14,38.7,41.39,56.92,59.33,61.62,1,1.07,1.15,Alameda
2020-05-04,96.54,102.95,109.59,36.11,38.65,41.35,58.22,60.62,62.89,1,1.08,1.16,Alameda
2020-05-05,96.47,102.88,109.53,36.07,38.61,41.3,59.52,61.92,64.17,1,1.08,1.16,Alameda
